"richness","abundance","mean","sd"
3,3606,2.31531343507266,0.437800785002488
3,11826,2.34179441520336,0.427513405818085
4,4893,3.01694149722604,0.542685903276464
4,9261,3.01440603177785,0.522560495305215
4,10898,2.98391115570708,0.550116087647179
4,12636,2.96389804296803,0.537208231362524
5,12262,3.64213777153918,0.614505349479469
6,8557,4.34008129808638,0.700826202338369
6,13373,4.35596093407196,0.689771149229345
7,3444,5.00561180523705,0.787461074061939
7,4207,4.94798897032941,0.817708488416154
8,1593,5.60410156336496,0.860677045638476
8,3582,5.67470979119179,0.866838141938652
8,16096,5.60146332058472,0.883388228399455
9,15015,6.34565086456774,0.906017307319077
10,556,6.9732106125803,1.04406031180489
10,3235,6.98413386401323,0.990684597347101
10,7207,6.97986980321153,0.989055258059014
10,10400,6.98382118522966,0.966982473205532
11,66,7.7217072252933,1.28157183537919
11,16198,7.60680144749826,1.04521373243374
12,892,8.19570448530998,1.12504371771412
12,2903,8.28801533737449,1.09890755235246
13,15796,8.8579515088869,1.16556452437532
14,1396,9.55541802330623,1.22481563333856
14,6045,9.58413084659941,1.17851419486386
14,12845,9.6424451873205,1.1733153030899
14,15675,9.59254296792819,1.25265688393839
15,8132,10.2855950365668,1.21857518688539
15,17849,10.2080409751875,1.20014831710293
16,19769,10.9285626720029,1.29249276906081
17,12522,11.5365735990336,1.37190837776909
17,17120,11.5743330367494,1.3302026745436
18,6337,12.2287719892215,1.43778066952308
18,7840,12.2067729151908,1.38286548186043
18,14602,12.1588900064908,1.39455858366147
19,6764,12.8535204941152,1.46084702783726
19,8851,12.7857146485357,1.47690136634821
20,1874,13.4667106054199,1.46009249279212
20,4525,13.5434133522435,1.54454555413984
20,10243,13.4578052319899,1.48906886254588
20,12446,13.4772968774608,1.53778963510176
20,17329,13.5575099184274,1.47347808348999
22,5200,14.7640287214522,1.59762907834722
22,7441,14.8909739130968,1.59602404565071
22,8924,14.7947472833084,1.58262644571816
22,15422,14.8667072757307,1.52991497313574
22,15725,14.8809493285367,1.53276973294142
22,16256,14.8280534343616,1.56818509305878
23,9329,15.431420427659,1.6397601896189
23,13507,15.4163904928649,1.63716954705001
23,16086,15.5350749272881,1.55850539027141
24,1965,15.9296565215107,1.70808080451845
24,14147,16.0828050838681,1.63469237196833
25,12952,16.7858541369598,1.74066140855684
26,17357,17.4054294066699,1.73691494546446
27,808,17.4651363350862,2.14035113033225
27,8067,17.9465779586163,1.79844120952129
27,17071,18.1116688185063,1.72044060797842
28,17062,18.6740243654494,1.89772928727242
28,19882,18.7987377271416,1.76523456180348
29,6241,19.2887875702614,1.82126561518958
29,6915,19.3501526063062,1.87155280593732
29,9653,19.3989071772442,1.87359294511246
29,10048,19.2473016628947,1.94162319484141
29,14631,19.3248498127108,1.87976125096488
29,15154,19.3114024823069,1.81659575112641
29,18518,19.3726103237743,1.8301337160026
30,4602,19.8570177000684,2.00838897568445
30,19447,20.0730646508573,1.81211134939967
32,920,20.454093086419,2.35469194659312
32,12318,21.2530416747749,1.9098087189822
32,14490,21.3579982924584,1.88879270052851
32,18103,21.332584278817,1.92038843140181
33,2487,21.7098357004771,2.09860738824289
33,2806,21.6385441272144,2.16160603249301
33,4679,21.7830944341904,2.10111618080986
33,7941,21.8544081554316,1.99436108107785
33,9336,21.896495611822,1.9631947592781
33,14411,21.9979707996183,1.99600912243101
34,2490,22.1926985082243,2.22385984208109
34,5571,22.5362201625577,2.07494790015125
34,9977,22.6546957504118,2.07287105191901
34,10148,22.5401579013908,2.04807747357851
35,11453,23.1514977482481,2.10421082955629
36,11656,23.8795462348421,2.08304963028371
39,13682,25.8302779090617,2.20744339932584
40,14571,26.4073608242052,2.2222477133574
41,15824,27.1442713645636,2.21815639440677
42,6205,27.574718592593,2.43718375484361
42,11971,27.5941564510949,2.23102880136878
43,776,25.8879158287335,3.24678645485863
43,18575,28.5391802656603,2.24417941707558
44,6804,28.8745860934696,2.37458175350309
45,473,26.051518325443,3.69151901575369
45,9324,29.6041498209264,2.39958344766499
45,15219,29.7109449289827,2.35912346543081
46,7170,30.0312223715977,2.45266507388608
46,15666,30.3500184090608,2.5095718817992
47,1398,29.1260058402068,3.20952586456227
47,9322,30.7541116800452,2.60380563533906
47,9453,30.87032474737,2.55205351961633
47,12433,30.8860622781257,2.4537753748237
47,16372,30.9162796705979,2.39665707072161
47,18381,31.0637219511118,2.41368650778739
47,18777,30.9407294348761,2.5223041091921
48,3373,30.832333981996,2.76618052140744
48,3795,30.7790394133183,2.70445250299856
48,11344,31.5972416513997,2.45699065773014
48,14857,31.6271103087011,2.50107933531492
50,2729,31.6070578039672,2.85756849192662
50,7335,32.5022629420411,2.66602666764424
50,17732,32.9807636617967,2.55783331258696
51,4758,32.824063749863,2.90956311473041
51,5518,32.9317793013552,2.75474652474303
52,3271,33.0026821160667,2.96835552232797
53,1500,32.158463375535,3.59119062096984
53,6485,34.2008265928686,2.58315696930887
54,4819,34.4846282398108,2.83594753092017
54,6269,34.8862761646976,2.84425337736864
54,6457,34.8522972481718,2.85309145029869
54,14951,35.3420953749009,2.66387366661265
55,9570,35.8137622462568,2.68714108443731
56,4176,35.5650877635071,3.11549080290512
56,5258,35.9776362011279,2.96024884918177
58,2537,35.8754399708256,3.35676111631088
58,3245,36.1973967390642,3.10376096113506
58,15056,37.9469609949466,2.86709232310885
58,19830,38.0929847250423,2.76610661047694
59,1965,35.7270517524138,3.74333571635998
59,17754,38.6885756810188,2.82980627171214
59,18017,38.6391053108994,2.76060130143807
60,7354,38.5244470879909,2.94061076344262
60,7755,38.7360524895842,3.05531179792023
61,11649,39.7676496831243,2.82002789686335
61,17623,39.7329228870116,2.88457538132918
62,5090,39.3320401517694,3.09639474042631
62,19508,40.46300899058,2.77690342608004
63,3762,39.3843850567867,3.34816263108499
63,6462,40.0757456224775,3.04747568466792
63,7590,40.3893884937966,3.20545990764288
63,18101,41.0576736682088,2.95336107508212
64,3751,39.8299847567864,3.3597194657536
64,8124,41.0657184482385,3.31292650060681
65,569,33.7694166641703,5.28374115781698
65,15458,42.2560350834289,2.97688147537803
66,13043,42.7750522891569,3.21919122303254
66,13443,42.8197165733554,3.15501278125864
66,18112,43.1007338817256,2.98185705234284
